ID;Название;Регион;Город;Адрес;Индекс;Телефон;Мобильный телефон;Email;Сайт;Рубрика;Подрубрика;Время работы;Способы оплаты;whatsapp;viber;telegram;vkontakte;odnoklassniki;youtube;Факс;rutube;yandex zen;Кол-во оценок;Рейтинг;Кол-во отзывов;Широта;Долгота;Тип заведения;site_ok;site_final_url;site_cms;site_platform;site_has_own_delivery;site_delivery_signals;site_developer;site_emails;site_whatsapp;site_telegram;vk_ok;vk_members;vk_last_post_days;vk_has_delivery;vk_email;vk_phone;app_ios_found;app_ios_name;app_ios_url;app_ios_developer;app_ios_platform;app_ios_rating;app_ios_reviews;app_ios_updated;app_ios_bundle_id;app_android_found;app_android_name;app_android_id;app_android_url;app_android_developer;app_android_platform;app_android_rating;app_android_reviews;lead_score;lead_segment;lead_label;lead_priority;lead_contact_quality;enriched_at
79099231819;Шаурма Сытная Лавка;Липецкая область;Липецк;ул. Гагарина, 10, Липецк;398020;;+7 (920) 542-00-05;;;Отдых и туризм / Кафе;Доставка еды;ежедневно, 10:00–22:00;;;;;;;;;;;6;4.1;4;52.618143;39.608769;Отдых и туризм/Кафе/Дарк китчен;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;mobile;2026-04-13 07:36
71797863118;Сайгон;Рязанская область;Рязань;ул. Некрасова, 20, корп. 1, Рязань;390000;+7 (4912) 99-09-49;;;https://saigoncafe.ru/ryazan;Отдых и туризм / Кафе;Доставка еды;ежедневно, 10:00–01:00;наличными, оплата картой, банковским переводом, онлайн, QR-код, СБП;;;;https://vk.com/saigon.ryazan;;;;;;320;5.0;280;54.634318;39.741071;Отдых и туризм/Кафе/Дарк китчен;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:36
6656096528;Вкусницца;Калининградская область;Калининград;ул. Виктора Денисова, 26, Калининград;;;+7 (958) 585-45-64;;;Отдых и туризм / Кафе;Доставка еды;пн-сб 11:00–21:00;онлайн, СБП, оплата картой, наличными, QR-код, электронными деньгами;;;;;;;;;;16;4.3;11;54.712774;20.59124;Отдых и туризм/Кафе/Дарк китчен;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;mobile;2026-04-13 07:36
144659375621;Pizza&Pasta Napoli;Ростовская область;Ростов-на-Дону;ул. Цезаря Куникова, 32А, Ростов-на-Дону;344068;;+7 (938) 114-57-64;;;Отдых и туризм / Кафе;Доставка еды, Рестораны;ежедневно, 15:00–02:00;;;;;;;;;;;0;0.0;0;47.25914;39.700119;Отдых и туризм/Кафе/Дарк китчен;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;mobile;2026-04-13 07:36
180280930437;Мэтр пицца;Республика Татарстан;Казань;просп. Победы, 56А, Казань;420110;;+7 (909) 306-68-80;;https://metrpizza.ru/;Отдых и туризм / Кафе, Услуги / Доставка еды и напитков;Доставка еды, Пиццерии;"""пн-чт 10:00–22:00";пт,сб 10:00–23:00;"вс 10:00–22:00""";;;;;;;;;;;0;0.0;0;55.751275;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"whatsapp; mobile";2026-04-13 07:36
47434700002;Стойка информации;Ярославская область;Ярославль;ул. Победы, 41, Ярославль;150014;;;;;Отдых и туризм / Кафе;Инфостойка;ежедневно, 10:00–22:00, перерыв 13:00–14:30;;;;;;;;;;;0;0.0;0;57.628297;39.869115;Отдых и туризм/Кафе/Инфостойка;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:36
74851751479;Стойка информации;Ярославская область;Ярославль;Яковлевская ул., 7, корп. 6, Ярославль;150062;;;;;Отдых и туризм / Кафе;Инфостойка;"""пн-пт 07:30–20:00";"сб 08:00–13:00""";;;;;;;;;;;0;0.0;0;57.656954;39.968637;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:36
137847942775;Стойка информации;Ярославская область;Ярославль;ул. Победы, 41, Ярославль;150014;;;;;Отдых и туризм / Кафе;Инфостойка;ежедневно, 10:00–22:00;;;;;;;;;;;0;0.0;0;57.626255;39.871804;Отдых и туризм/Кафе/Инфостойка;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;;2026-04-13 07:36
87795851893;Туристский информационный центр;Владимирская область;Владимир;Большая Московская ул., 33, Владимир;;+7 (4922) 37-70-00;+7 (906) 564-64-44;invladimir33@yandex.ru;http://invladimir.ru/;Отдых и туризм / Кафе, Отдых и туризм / Туризм;Инфостойка, Экскурсии;вт-вс 10:00–18:00;;79065646444;https://viber.click/79065646444;;https://vk.com/tic_vladimir;;;;;;23;0.0;9;56.129232;40.407375;Отдых и туризм/Кафе/Инфостойка;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;"email; whatsapp; mobile";2026-04-13 07:36
4275575059;Халяль;Москва и Московская область;Москва и Московская область;;;;+7 (929) 988-72-91;;;Отдых и туризм / Кафе;Кафе, Рестораны;ежедневно, 08:00–23:00;;;;;;;;;;;13;3.8;2;55.562368;37.861303;Отдых и туризм/Кафе/Кафе;False;;;;False;;;;;;False;;;False;;;False;;;;;;;;;False;;;;;;;;2;D;Холодный;4;mobile;2026-04-13 07:36
